gitrev,hid,depth,din,R_relax,ε,ω_p,n_cycles,cos_min,pass,reps
unknown,256,4,784,0.0055710305,0.1,0.05,4,0.2726194,false,8
unknown,256,4,784,0.0055710305,0.1,0.05,8,-0.30930775,false,8
unknown,256,4,784,0.0055710305,0.1,0.05,16,-0.038229804,false,8
unknown,256,4,784,0.0055710305,0.1,0.1,4,-0.24885203,false,8
unknown,256,4,784,0.0055710305,0.1,0.1,8,-0.3806177,false,8
unknown,256,4,784,0.0055710305,0.1,0.1,16,-0.2947033,false,8
unknown,256,4,784,0.0055710305,0.1,0.2,4,-0.43667012,false,8
unknown,256,4,784,0.0055710305,0.1,0.2,8,-0.340262,false,8
unknown,256,4,784,0.0055710305,0.1,0.2,16,-0.5115469,false,8
unknown,256,4,784,0.0055710305,0.3,0.02,4,0.3042196,false,8
unknown,256,4,784,0.0055710305,0.3,0.05,4,0.19134003,false,8
unknown,256,4,784,0.0055710305,0.3,0.05,8,-0.4040748,false,8
unknown,256,4,784,0.0055710305,0.3,0.05,16,-0.010035742,false,8
unknown,256,4,784,0.0055710305,0.3,0.1,4,-0.2524556,false,8
unknown,256,4,784,0.0055710305,0.3,0.1,8,-0.15097457,false,8
unknown,256,4,784,0.0055710305,0.3,0.1,16,-0.40022612,false,8
unknown,256,4,784,0.0055710305,0.3,0.2,4,-0.44093746,false,8
unknown,256,4,784,0.0055710305,0.3,0.2,8,-0.29266754,false,8
unknown,256,4,784,0.0055710305,0.3,0.2,16,-0.2770553,false,8
unknown,1024,2,784,0.006329114,0.01,0.02,4,0.63674587,false,8
unknown,1024,2,784,0.006329114,0.01,0.05,4,0.4146763,false,8
unknown,1024,2,784,0.006329114,0.01,0.05,8,0.05653673,false,8
unknown,1024,2,784,0.006329114,0.01,0.05,16,0.24228904,false,8
unknown,1024,2,784,0.006329114,0.01,0.1,4,0.041848045,false,8
unknown,1024,2,784,0.006329114,0.01,0.1,8,0.011148987,false,8
unknown,1024,2,784,0.006329114,0.01,0.1,16,-0.056864094,false,8
unknown,1024,2,784,0.006329114,0.01,0.2,4,-0.005690271,false,8
unknown,1024,2,784,0.006329114,0.01,0.2,8,-0.07706221,false,8
unknown,1024,2,784,0.006329114,0.01,0.2,16,-0.03419807,false,8
unknown,1024,2,784,0.006329114,0.03,0.02,4,0.88455814,false,8
unknown,1024,2,784,0.006329114,0.03,0.05,4,0.5215755,false,8
unknown,1024,2,784,0.006329114,0.03,0.05,8,0.7064025,false,8
unknown,1024,2,784,0.006329114,0.03,0.05,16,0.14627935,false,8
unknown,1024,2,784,0.006329114,0.03,0.1,4,0.23182179,false,8
unknown,1024,2,784,0.006329114,0.03,0.1,8,-0.48962492,false,8
unknown,1024,2,784,0.006329114,0.03,0.1,16,0.025926752,false,8
unknown,1024,2,784,0.006329114,0.03,0.2,4,-0.11608168,false,8
unknown,1024,2,784,0.006329114,0.03,0.2,8,0.029169576,false,8
unknown,1024,2,784,0.006329114,0.03,0.2,16,-0.3094154,false,8
unknown,1024,2,784,0.006329114,0.1,0.02,4,0.8420355,false,8
unknown,1024,2,784,0.006329114,0.1,0.05,4,0.7485635,false,8
unknown,1024,2,784,0.006329114,0.1,0.05,8,0.7387562,false,8
unknown,1024,2,784,0.006329114,0.1,0.05,16,0.43596336,false,8
unknown,1024,2,784,0.006329114,0.1,0.1,4,0.32049283,false,8
unknown,1024,2,784,0.006329114,0.1,0.1,8,0.22393808,false,8
unknown,1024,2,784,0.006329114,0.1,0.1,16,0.25594744,false,8
unknown,1024,2,784,0.006329114,0.1,0.2,4,0.016560968,false,8
unknown,1024,2,784,0.006329114,0.1,0.2,8,0.08757087,false,8
unknown,1024,2,784,0.006329114,0.1,0.2,16,0.017894201,false,8
unknown,1024,2,784,0.006329114,0.3,0.02,4,0.32761925,false,8
unknown,1024,2,784,0.006329114,0.3,0.05,4,0.6434297,false,8
unknown,1024,2,784,0.006329114,0.3,0.05,8,0.6295114,false,8
unknown,1024,2,784,0.006329114,0.3,0.05,16,0.22671442,false,8
unknown,1024,2,784,0.006329114,0.3,0.1,4,-0.24504492,false,8
unknown,1024,2,784,0.006329114,0.3,0.1,8,0.4351822,false,8
unknown,1024,2,784,0.006329114,0.3,0.1,16,0.08597857,false,8
unknown,1024,2,784,0.006329114,0.3,0.2,4,0.1186889,false,8
unknown,1024,2,784,0.006329114,0.3,0.2,8,-0.013994454,false,8
unknown,1024,2,784,0.006329114,0.3,0.2,16,0.065144874,false,8
unknown,1024,3,784,0.004,0.01,0.02,4,0.0802672,false,8
unknown,1024,3,784,0.004,0.01,0.05,4,-0.5275918,false,8
unknown,1024,3,784,0.004,0.01,0.05,8,-0.11350386,false,8
unknown,1024,3,784,0.004,0.01,0.05,16,-0.10536545,false,8
unknown,1024,3,784,0.004,0.01,0.1,4,-0.33400816,false,8
unknown,1024,3,784,0.004,0.01,0.1,8,-0.3197774,false,8
unknown,1024,3,784,0.004,0.01,0.1,16,-0.18009932,false,8
unknown,1024,3,784,0.004,0.01,0.2,4,-0.28991297,false,8
unknown,1024,3,784,0.004,0.01,0.2,8,-0.056654073,false,8
unknown,1024,3,784,0.004,0.01,0.2,16,-0.17049932,false,8
unknown,1024,3,784,0.004,0.03,0.02,4,0.29227835,false,8
unknown,1024,3,784,0.004,0.03,0.05,4,-0.13633816,false,8
unknown,1024,3,784,0.004,0.03,0.05,8,-0.107779466,false,8
unknown,1024,3,784,0.004,0.03,0.05,16,-0.16117544,false,8
unknown,1024,3,784,0.004,0.03,0.1,4,-0.19450846,false,8
unknown,1024,3,784,0.004,0.03,0.1,8,-0.27298635,false,8
unknown,1024,3,784,0.004,0.03,0.1,16,-0.25828344,false,8
unknown,1024,3,784,0.004,0.03,0.2,4,-0.70233065,false,8
unknown,1024,3,784,0.004,0.03,0.2,8,-0.36949924,false,8
unknown,1024,3,784,0.004,0.03,0.2,16,-0.070972145,false,8
unknown,1024,3,784,0.004,0.1,0.02,4,0.13914587,false,8
unknown,1024,3,784,0.004,0.1,0.05,4,-0.11432651,false,8
unknown,1024,3,784,0.004,0.1,0.05,8,-0.07370897,false,8
unknown,1024,3,784,0.004,0.1,0.05,16,0.16601357,false,8
unknown,1024,3,784,0.004,0.1,0.1,4,-0.06609671,false,8
unknown,1024,3,784,0.004,0.1,0.1,8,-0.19350865,false,8
unknown,1024,3,784,0.004,0.1,0.1,16,-0.07259265,false,8
unknown,1024,3,784,0.004,0.1,0.2,4,-0.44632187,false,8
unknown,1024,3,784,0.004,0.1,0.2,8,-0.35991213,false,8
unknown,1024,3,784,0.004,0.1,0.2,16,-0.21052992,false,8
unknown,1024,3,784,0.004,0.3,0.02,4,-0.11320332,false,8
unknown,1024,3,784,0.004,0.3,0.05,4,0.19315712,false,8
unknown,1024,3,784,0.004,0.3,0.05,8,-0.017823504,false,8
unknown,1024,3,784,0.004,0.3,0.05,16,0.012197245,false,8
unknown,1024,3,784,0.004,0.3,0.1,4,-0.15179622,false,8
unknown,1024,3,784,0.004,0.3,0.1,8,-0.07659344,false,8
unknown,1024,3,784,0.004,0.3,0.1,16,-0.16796,false,8
unknown,1024,3,784,0.004,0.3,0.2,4,-0.1130198,false,8
unknown,1024,3,784,0.004,0.3,0.2,8,-0.52313596,false,8
unknown,1024,3,784,0.004,0.3,0.2,16,-0.1713809,false,8
