arm,depth,seed,block_index,alpha
rezero_warm_g,50,1,44,0.21841781
rezero_warm_g,50,1,45,0.21504477
rezero_warm_g,50,1,46,0.23885009
rezero_warm_g,50,1,47,0.21444133
rezero_warm_g,50,1,48,0.2488451
rezero_warm_g,50,1,49,0.25958568
rezero_warm_g,50,1,50,0.2708998
rezero_warm_g,50,2,1,0.09194741
rezero_warm_g,50,2,2,0.10760851
rezero_warm_g,50,2,3,0.13223983
rezero_warm_g,50,2,4,0.13152228
rezero_warm_g,50,2,5,0.1274862
rezero_warm_g,50,2,6,0.12516497
rezero_warm_g,50,2,7,0.13329662
rezero_warm_g,50,2,8,0.13437246
rezero_warm_g,50,2,9,0.1339169
rezero_warm_g,50,2,10,0.14815207
rezero_warm_g,50,2,11,0.13532883
rezero_warm_g,50,2,12,0.1328621
rezero_warm_g,50,2,13,0.11954807
rezero_warm_g,50,2,14,0.13038172
rezero_warm_g,50,2,15,0.14458644
rezero_warm_g,50,2,16,0.12052827
rezero_warm_g,50,2,17,0.13557488
rezero_warm_g,50,2,18,0.12850825
rezero_warm_g,50,2,19,0.13553
rezero_warm_g,50,2,20,0.14410621
rezero_warm_g,50,2,21,0.14790054
rezero_warm_g,50,2,22,0.14799598
rezero_warm_g,50,2,23,0.14569348
rezero_warm_g,50,2,24,0.14830637
rezero_warm_g,50,2,25,0.15366235
rezero_warm_g,50,2,26,0.1506964
rezero_warm_g,50,2,27,0.14763913
rezero_warm_g,50,2,28,0.1462024
rezero_warm_g,50,2,29,0.1563844
rezero_warm_g,50,2,30,0.1573309
rezero_warm_g,50,2,31,0.16665846
rezero_warm_g,50,2,32,0.14408648
rezero_warm_g,50,2,33,0.1551948
rezero_warm_g,50,2,34,0.17122555
rezero_warm_g,50,2,35,0.16181555
rezero_warm_g,50,2,36,0.17398095
rezero_warm_g,50,2,37,0.1668999
rezero_warm_g,50,2,38,0.17570573
rezero_warm_g,50,2,39,0.17485362
rezero_warm_g,50,2,40,0.17317382
rezero_warm_g,50,2,41,0.18560916
rezero_warm_g,50,2,42,0.18399002
rezero_warm_g,50,2,43,0.1944439
rezero_warm_g,50,2,44,0.21332878
rezero_warm_g,50,2,45,0.226388
rezero_warm_g,50,2,46,0.22601053
rezero_warm_g,50,2,47,0.23191349
rezero_warm_g,50,2,48,0.24257942
rezero_warm_g,50,2,49,0.24120097
rezero_warm_g,50,2,50,0.2830857
rezero_warm_g,50,3,1,0.12591386
rezero_warm_g,50,3,2,0.0811903
rezero_warm_g,50,3,3,0.12653553
rezero_warm_g,50,3,4,0.11446106
rezero_warm_g,50,3,5,0.1349729
rezero_warm_g,50,3,6,0.119402364
rezero_warm_g,50,3,7,0.12013361
rezero_warm_g,50,3,8,0.13291138
rezero_warm_g,50,3,9,0.13418204
rezero_warm_g,50,3,10,0.12375039
rezero_warm_g,50,3,11,0.12703371
rezero_warm_g,50,3,12,0.1307395
rezero_warm_g,50,3,13,0.13202764
rezero_warm_g,50,3,14,0.14258772
rezero_warm_g,50,3,15,0.13963959
rezero_warm_g,50,3,16,0.1275772
rezero_warm_g,50,3,17,0.12858531
rezero_warm_g,50,3,18,0.13712291
rezero_warm_g,50,3,19,0.13376811
rezero_warm_g,50,3,20,0.1335673
rezero_warm_g,50,3,21,0.13384528
rezero_warm_g,50,3,22,0.13362615
rezero_warm_g,50,3,23,0.13675793
rezero_warm_g,50,3,24,0.13965796
rezero_warm_g,50,3,25,0.14211088
rezero_warm_g,50,3,26,0.13554622
rezero_warm_g,50,3,27,0.14107813
rezero_warm_g,50,3,28,0.15725785
rezero_warm_g,50,3,29,0.14416878
rezero_warm_g,50,3,30,0.1507332
rezero_warm_g,50,3,31,0.15257457
rezero_warm_g,50,3,32,0.14867288
