eps,omega_p,n_cycles,rep,cos,cos_l1,cos_l2,relerr_l1,steps
0.3,0.01,1,4,0.9889450560212082,0.9976375810603588,0.9889450560212082,0.07532800023062798,2714
0.003,0.2,1,5,0.01826934266648565,0.02235528377168105,0.01826934266648565,42.35177927152556,326
0.003,0.1,4,4,0.02640716863503629,0.02640716863503629,0.1057562431595679,44.67913235010504,830
0.003,0.1,1,7,-0.016635324731406567,-0.016635324731406567,0.14430904122714164,24.22296992370531,452
0.01,0.2,1,5,0.03791789535413956,0.03791789535413956,0.22721295925622703,12.698071899424738,326
0.03,0.2,1,5,0.08209766903518569,0.08209766903518569,0.5898816703872124,4.279323717563904,326
0.01,0.1,1,7,0.04589007008921679,0.04589007008921679,0.5056919565971452,7.271766068439984,452
0.3,0.02,2,1,0.9967409835961699,0.9967409835961699,0.9972104440506149,0.0884033750581795,2084
0.1,0.2,1,5,0.22163905742792828,0.22163905742792828,0.8004818057039568,1.5003972909115197,326
0.003,0.1,8,7,-0.03367977101400076,-0.03367977101400076,0.022462836343269718,66.74964533107699,1334
0.03,0.1,1,7,0.21943437211385766,0.21943437211385766,0.8356030782630371,2.455456860059002,452
0.3,0.2,1,5,0.41910936042181984,0.41910936042181984,0.8333298950961247,0.9470835362113498,326
0.3,0.01,2,7,0.9988962535248418,0.9992611253363565,0.9988962535248418,0.04697749582702859,3971
0.1,0.05,1,1,0.9737840802863175,0.9737840802863175,0.9822737100154272,0.24271490477589205,702
0.003,0.2,1,6,-0.013086790203036217,0.0037867518802767236,-0.013086790203036217,37.299012607444425,326
0.1,0.1,1,7,0.6281281202728868,0.6281281202728868,0.9163249914122058,0.854464332674752,452
0.01,0.1,4,4,0.05520477940699775,0.05520477940699775,0.24449211066755097,13.397095966422407,830
0.01,0.2,1,6,0.014094019023474942,0.014094019023474942,0.11909839056788453,11.21620226996091,326
0.3,0.1,1,7,0.8612680014869508,0.8612680014869508,0.9229963980915373,0.522744547588117,452
0.03,0.2,1,6,0.04332453769217748,0.04332453769217748,0.4080743460487201,3.835217810020404,326
0.003,0.1,1,8,0.01921515100128044,0.08934653847917054,0.01921515100128044,21.383707323298903,452
0.003,0.01,1,5,0.9519559796091858,0.9519559796091858,0.9956634843380724,0.31571422234609536,2714
0.1,0.2,1,6,0.1360765694897374,0.1360765694897374,0.6567980197938892,1.4571703549982855,326
0.01,0.1,8,7,-0.011056259368090253,-0.011056259368090253,0.18313321448841452,20.02074515720627,1334
0.03,0.1,4,4,0.13626384729231414,0.13626384729231414,0.5118040405243662,4.487299234711366,830
0.3,0.2,1,6,0.2737525467953494,0.2737525467953494,0.6996607780041761,1.0158305398761007,326
0.01,0.1,1,8,0.12706698129909721,0.12706698129909721,0.22413548325561256,6.401270704371308,452
0.3,0.05,1,1,0.9777899125766351,0.9777899125766351,0.981873646137755,0.22864306384887248,702
0.003,0.02,2,2,0.9529566995756602,0.9529566995756602,0.9849738596614148,0.30371491372513476,2084
0.003,0.2,1,7,-0.0354796461785629,-0.0354796461785629,0.044249556176634765,42.375815251837885,326
0.03,0.1,1,8,0.22889611746472743,0.22889611746472743,0.5333122587323135,2.2089880946864953,452
0.01,0.2,1,7,-0.017062269468446814,-0.017062269468446814,0.24873724488642315,12.735519282324336,326
0.1,0.1,4,4,0.3783446648799937,0.3783446648799937,0.7157396847974656,1.4612647820192382,830
0.003,0.05,1,2,0.2383149987507681,0.2383149987507681,0.6528901791833451,3.1656349269720696,702
0.1,0.1,1,8,0.46147420534515965,0.46147420534515965,0.6370989256582301,0.9723095616415873,452
0.03,0.2,1,7,0.03568304245653417,0.03568304245653417,0.6048880378602125,4.310628983244737,326
0.03,0.1,8,7,0.053731284913401706,0.053731284913401706,0.5383783229852354,6.6796559878632396,1334
0.1,0.2,1,7,0.20829137601232078,0.20829137601232078,0.7989376311072194,1.4971796669605306,326
0.3,0.1,1,8,0.5920498798683602,0.5920498798683602,0.6398256755489512,0.8062867325270239,452
0.01,0.05,1,2,0.6155393378041326,0.6155393378041326,0.9006356000949669,1.0160362925865793,702
0.3,0.1,4,4,0.6637693965392077,0.6637693965392077,0.7485154275067566,0.768557514559445,830
0.3,0.2,1,7,0.4787134487077727,0.4787134487077727,0.8224574811695409,0.8966747400534668,326
