draw,carrier,frame,sample_every,cos_l1,cos_l2,relerr_l1
6,lab_2pi,lab,628,-0.014574083821012057,0.8781174894762351,2710.9521
6,lab_1p7,co_rotating,1,0.028932362796365848,0.999488680772993,1.0072776
6,lab_1p7,co_rotating,628,0.026428851209762134,0.8781198557766942,306.7095
6,lab_1p7,lab,1,0.028932362796365848,0.999488680772993,1.0072776
6,lab_1p7,lab,628,0.026428851209762134,0.8781198557766942,306.7095
5,co_rotating,co_rotating,1,0.9994480517270476,0.9902215382404302,0.034108482
5,co_rotating,co_rotating,628,-0.01012823344825546,-0.34875771015311235,10.302883
5,lab_2pi,co_rotating,1,0.08864235673121772,0.9902228096438321,1.230034
5,lab_2pi,co_rotating,628,-0.08775194352163387,-0.34875325998492707,3180.7644
5,lab_2pi,lab,1,0.08864235673121772,0.9902228096438321,1.230034
5,lab_2pi,lab,628,-0.08775194352163387,-0.34875325998492707,3180.7644
5,lab_1p7,co_rotating,1,0.19473065082160945,0.9902207532674315,0.9893841
5,lab_1p7,co_rotating,628,0.2013564550195936,-0.3487758140468563,431.95007
5,lab_1p7,lab,1,0.19473065082160945,0.9902207532674315,0.9893841
5,lab_1p7,lab,628,0.2013564550195936,-0.3487758140468563,431.95007
5,co_rotating,co_rotating,1,0.9994480517270476,0.9902215382404302,0.034108482
5,co_rotating,co_rotating,628,-0.01012823344825546,-0.34875771015311235,10.302883
5,lab_2pi,lab,1,0.08864235673121772,0.9902228096438321,1.230034
5,lab_2pi,lab,628,-0.08775194352163387,-0.34875325998492707,3180.7644
5,lab_1p7,lab,1,0.19473065082160945,0.9902207532674315,0.9893841
5,lab_1p7,lab,628,0.2013564550195936,-0.3487758140468563,431.95007
5,lab_2p9,lab,1,0.1855567440526517,0.9902212000298215,0.98272115
5,lab_2p9,lab,628,0.1800444004269584,-0.3487810795360895,1103.2947
5,lab_1p7,co_rotating,1,0.19473065082160945,0.9902207532674315,0.9893841
5,lab_1p7,co_rotating,628,0.2013564550195936,-0.3487758140468563,431.95007
1,co_rotating,co_rotating,1,0.9995385887177061,0.9929909631553314,0.03038631
1,co_rotating,co_rotating,628,0.28623531067674374,0.9776556886894809,3.8749177
1,lab_2pi,lab,1,0.10386138427377996,0.9929908757367237,1.0113183
1,lab_2pi,lab,628,-0.10375182501725683,0.9776551357734465,1128.6918
1,lab_1p7,lab,1,0.20914442552991466,0.9929905497304942,0.9820439
1,lab_1p7,lab,628,0.20736118593484776,0.9776556190755117,173.00835
1,lab_2p9,lab,1,0.20129087838676943,0.9929915228453541,0.98947996
1,lab_2p9,lab,628,0.1721191654740218,0.9776572480865512,463.3312
1,lab_1p7,co_rotating,1,0.20914442552991466,0.9929905497304942,0.9820439
1,lab_1p7,co_rotating,628,0.20736118593484776,0.9776556190755117,173.00835
7,co_rotating,co_rotating,1,0.9988381872422425,0.9988211803631437,0.050340015
7,co_rotating,co_rotating,628,0.44239712654473834,-0.05541173153708488,11.48442
7,lab_2pi,lab,1,-0.23231978586210741,0.9988211735062459,1.2209878
7,lab_2pi,lab,628,0.2260971181612644,-0.055405220942948176,1998.5187
7,lab_1p7,lab,1,-0.3183527614002981,0.9988209772769883,1.1387194
7,lab_1p7,lab,628,-0.24383614255992117,-0.05540823572876588,522.04047
7,lab_2p9,lab,1,-0.34868754911433286,0.9988214710401385,1.0610428
7,lab_2p9,lab,628,-0.20344452584783063,-0.05539631980581155,1449.3136
7,lab_1p7,co_rotating,1,-0.3183527614002981,0.9988209772769883,1.1387194
7,lab_1p7,co_rotating,628,-0.24383614255992117,-0.05540823572876588,522.04047
8,co_rotating,co_rotating,1,0.9988714270985872,0.9961193562791166,0.05042962
8,co_rotating,co_rotating,628,0.25650241848022265,0.9787848326658385,3.708524
