eps,omega_p,n_cycles,readout,rep,cos,cos_l1,cos_l2,relerr_l1,resid,steps,cycles,gitrev
0.001,0.2,2,0.005,1,0.00918106147026076,0.00918106147026076,0.020048384121549107,161.15990956751781,0.00032680426,389,194.5,5ef5c11-dirty
0.003,0.2,8,0.005,4,0.015266709328009831,0.015266709328009831,0.03283624384785921,90.37991339275256,1.708457e-5,767,383.5,5ef5c11-dirty
0.001,0.1,2,0.02,2,-0.012314460501410922,-0.0008109118509397944,-0.012314460501410922,97.29194173923008,9.048635e-6,578,289.0,5ef5c11-dirty
0.003,0.2,2,0.005,1,0.012298544905955954,0.012298544905955954,0.035320672681205846,54.56247841491231,0.00032680426,389,194.5,5ef5c11-dirty
0.1,0.05,2,0.02,5,0.06269694658221941,0.06269694658221941,0.10937850268475725,6.3181970273846515,0.00036867431,953,476.5,5ef5c11-dirty
0.01,0.2,2,0.005,1,-0.029018418710771914,0.043593965362900396,-0.029018418710771914,17.3428738339264,0.00032680426,389,194.5,5ef5c11-dirty
0.003,0.1,2,0.02,2,-0.010528056738393247,-0.0008129678819789774,-0.010528056738393247,32.4451286250042,9.048635e-6,578,289.0,5ef5c11-dirty
0.01,0.2,8,0.005,4,0.0250634094820096,0.0250634094820096,0.090557091976038,27.773420912747824,1.708457e-5,767,383.5,5ef5c11-dirty
0.03,0.2,2,0.005,1,0.0648416711698337,0.0648416711698337,0.3025225435773349,7.793912124146976,0.00032680426,389,194.5,5ef5c11-dirty
0.1,0.2,2,0.005,1,0.11611836218054679,0.11611836218054679,0.3935069759340732,3.379158865397977,0.00032680426,389,194.5,5ef5c11-dirty
0.01,0.05,8,0.0,1,0.3464331604776346,0.3464331604776346,0.846264363446246,2.3967100687828453,0.00032680426,2459,1229.5,5ef5c11-dirty
0.01,0.1,2,0.02,2,-0.0188369305370502,-0.0008110658750676436,-0.0188369305370502,9.780646982018677,9.048635e-6,578,289.0,5ef5c11-dirty
0.3,0.05,2,0.02,5,0.13863602273902362,0.13863602273902362,0.3338086158844168,3.8142672049741635,0.00036867431,953,476.5,5ef5c11-dirty
0.3,0.2,2,0.005,1,0.2030409036467073,0.2030409036467073,0.4984069779883706,1.8170725509291783,0.00032680426,389,194.5,5ef5c11-dirty
0.3,0.1,8,0.005,7,0.3368536282716158,0.3368536282716158,0.7648586249941001,1.8277593848129632,5.042856e-5,1334,667.0,5ef5c11-dirty
0.03,0.2,8,0.005,4,0.030577184896903316,0.030577184896903316,0.09349647519972575,10.156502743121255,1.708457e-5,767,383.5,5ef5c11-dirty
0.03,0.1,2,0.02,2,0.03923735386441922,0.03923735386441922,0.07159361642654725,8.367090746702187,9.048635e-6,578,289.0,5ef5c11-dirty
0.0003,0.2,2,0.01,1,0.007385992847448278,0.007385992847448278,0.01918099081875634,532.8099323810272,0.00032680426,389,194.5,5ef5c11-dirty
0.0003,0.05,2,0.0,6,0.03356277595591811,0.03356277595591811,0.216969408575137,13.396236891111425,0.000112622154,953,476.5,5ef5c11-dirty
0.001,0.2,2,0.01,1,0.00813735903735693,0.00813735903735693,0.015531860078583534,161.5113443843361,0.00032680426,389,194.5,5ef5c11-dirty
0.1,0.1,2,0.02,2,0.07306923791965554,0.07306923791965554,0.22567963231661345,4.831232035046483,9.048635e-6,578,289.0,5ef5c11-dirty
0.0003,0.02,8,0.005,4,0.021399586375239126,0.06755250701986396,0.021399586375239126,108.89636163873004,1.708457e-5,5852,2926.0,5ef5c11-dirty
0.1,0.2,8,0.005,4,0.07499536101778881,0.07499536101778881,0.18744479779892834,3.9423629103541717,1.708457e-5,767,383.5,5ef5c11-dirty
0.003,0.2,2,0.01,1,0.009028783228897575,0.009028783228897575,0.023770282857993468,57.77317825482196,0.00032680426,389,194.5,5ef5c11-dirty
